rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed
52,short_cand_052_BTC_USDT,BTC/USDT,short,55,20,0.236,0.336,0.008,0.013,18,False,disabled,20,0.0,"1D, 4H->1D",38,27,0.47368421052631576,-0.07638778239453829,-2.9027357309924553,-0.0005805471461984911,4997.097264269013,5051.181111241982,69.89815595792061,1.3837982526968644,False,999.0,False,4
49,short_cand_049_BTC_USDT,BTC/USDT,short,30,20,0.236,0.336,0.011,0.013,18,False,disabled,20,0.0,"1D, 4H->1D",47,34,0.46808510638297873,-0.36611102860314787,-17.20721834434795,-0.00344144366886959,4982.7927816556585,5032.348882111076,79.84573730634929,1.5870177507213374,False,999.0,False,4
19,short_cand_019_AVAX_USDT,AVAX/USDT,short,40,20,0.236,0.336,0.041,0.053,8,False,disabled,20,0.0,"1D, 4H->1D",61,40,0.5573770491803278,2.9474401767570475,179.7938507821799,0.03595877015643598,5179.793850782189,5342.079320235081,246.85949599188734,4.621037637101655,True,14.798086679632025,False,4
9,short_cand_009_ADA_USDT,ADA/USDT,short,65,20,0.236,0.386,0.053,0.043,25,False,disabled,20,0.0,"1D, 4H->1D",68,46,0.5735294117647058,3.0279486400426556,205.9005075229006,0.04118010150458012,5205.9005075229115,5409.382830596595,298.6924871753545,5.521747979933822,True,20.67915120058966,False,4
20,short_cand_020_AVAX_USDT,AVAX/USDT,short,30,20,0.236,0.336,0.041,0.053,8,False,disabled,20,0.0,"1D, 4H->1D",70,48,0.5142857142857142,1.8303883445073321,128.12718411551324,0.02562543682310265,5128.127184115523,5290.4126535684145,246.85949599188734,4.666167124513041,True,20.765343488239406,False,4
10,short_cand_010_ADA_USDT,ADA/USDT,short,50,20,0.236,0.336,0.053,0.043,25,False,disabled,20,0.0,"1D, 4H->1D",65,44,0.5692307692307692,2.812251627390362,182.79635578037355,0.036559271156074706,5182.796355780384,5363.887650047316,266.82394108233257,4.974450594243502,True,23.29284798467173,False,4
17,short_cand_017_AVAX_USDT,AVAX/USDT,short,40,20,0.236,0.336,0.038,0.053,10,False,disabled,20,0.0,"1D, 4H->1D",62,41,0.5,1.7718462510556672,109.85446756545136,0.02197089351309027,5109.85446756546,5218.661628859176,165.44409598739003,3.1702399533337227,True,24.04910956443109,False,4
27,short_cand_027_AVAX_USDT,AVAX/USDT,short,40,20,0.236,0.286,0.002,0.053,14,False,disabled,20,0.0,"1D, 4H->1D",70,47,0.5428571428571428,2.483860036520052,173.87020255640363,0.034774040511280725,5173.870202556414,5347.894792936113,261.26756822921107,4.88542834788583,True,24.633455148729258,False,4
144,short_cand_144_XRP_USDT,XRP/USDT,short,35,20,0.236,0.436,0.038,0.043,8,False,disabled,20,0.0,"1D, 4H->1D",79,54,0.4936708860759494,1.3446872760207274,106.23029480563746,0.021246058961127492,5106.230294805648,5239.218284686256,203.78631312450852,3.8896320414852115,True,25.657824516480975,False,4
21,short_cand_021_AVAX_USDT,AVAX/USDT,short,40,20,0.236,0.336,0.047,0.053,10,False,disabled,20,0.0,"1D, 4H->1D",59,39,0.4915254237288136,1.7206971903748816,101.52113423211802,0.020304226846423603,5101.521134232126,5210.328295525842,165.44409598739003,3.1753103951138444,True,26.023173860364228,False,4
29,short_cand_029_AVAX_USDT,AVAX/USDT,short,40,20,0.236,0.336,0.055,0.068,8,False,disabled,20,0.0,"1D, 4H->1D",62,42,0.4838709677419355,1.6087480939877312,99.74238182723934,0.01994847636544787,5099.742381827247,5233.716600057311,205.14870521261673,3.9197518874134354,True,27.10557986747623,False,4
51,short_cand_051_BTC_USDT,BTC/USDT,short,50,20,0.236,0.636,0.035,0.013,14,False,disabled,20,0.0,"1D, 4H->1D",52,35,0.5576923076923077,3.3143820602881364,172.3478671349831,0.034469573426996615,5172.347867134991,5362.242461772607,279.884987558793,5.21955114029422,True,27.958390059146172,False,4
115,short_cand_115_SOL_USDT,SOL/USDT,short,30,20,0.236,0.286,0.035,0.053,25,False,disabled,20,0.0,"1D, 4H->1D",70,48,0.5428571428571428,2.167118390061004,151.69828730427028,0.030339657460854055,5151.698287304281,5326.7564301482835,262.7818427699358,4.9332430760799895,True,28.233831195357688,False,4
